operation,fft_size,shape,batch_size,runtime
cufft,256,256,1048576,0.003187
tcfft,256,256,1048576,0.002553
mpmxufft,256,256,1048576,0.001613
cufft,512,512,1048576,0.006258
tcfft,512,512,1048576,0.005115
mpmxufft,512,512,1048576,0.003308
cufft,1024,1024,1048576,0.012492
tcfft,1024,1024,1048576,0.010218
mpmxufft,1024,1024,1048576,0.006881
cufft,131072,131072,2048,0.006370
tcfft,131072,131072,2048,0.006262
mpmxufft,131072,131072,2048,0.003819
cufft,262144,262144,2048,0.012422
tcfft,262144,262144,2048,0.013276
mpmxufft,262144,262144,2048,0.007672
cufft,524288,524288,2048,0.025100
tcfft,524288,524288,2048,0.026521
mpmxufft,524288,524288,2048,0.015575
cufft,16777216,16777216,8,0.004190
tcfft,16777216,16777216,8,0.004915
mpmxufft,16777216,16777216,8,0.003014
cufft,33554432,33554432,8,0.010259
tcfft,33554432,33554432,8,0.009868
mpmxufft,33554432,33554432,8,0.006020
cufft,67108864,67108864,8,0.020425
tcfft,67108864,67108864,8,0.020496
mpmxufft,67108864,67108864,8,0.012001
cufft,134217728,134217728,8,0.040442
tcfft,134217728,134217728,8,0.043125
mpmxufft,134217728,134217728,8,0.024483
