operation,fft_size,shape,batch_size,runtime
cufft,256,256,1048576,0.005068
tcfft,256,256,1048576,0.004150
mpmxufft,256,256,1048576,0.003853
cufft,512,512,1048576,0.010159
tcfft,512,512,1048576,0.009683
mpmxufft,512,512,1048576,0.009033
cufft,1024,1024,1048576,0.020387
tcfft,1024,1024,1048576,0.019553
mpmxufft,1024,1024,1048576,0.018116
cufft,131072,131072,2048,0.010129
tcfft,131072,131072,2048,0.012129
mpmxufft,131072,131072,2048,0.011856
cufft,262144,262144,2048,0.020311
tcfft,262144,262144,2048,0.025738
mpmxufft,262144,262144,2048,0.027466
cufft,524288,524288,2048,0.060875
tcfft,524288,524288,2048,0.051685
mpmxufft,524288,524288,2048,0.054985
cufft,16777216,16777216,8,0.008514
tcfft,16777216,16777216,8,0.009441
mpmxufft,16777216,16777216,8,0.009255
cufft,33554432,33554432,8,0.015852
tcfft,33554432,33554432,8,0.019502
mpmxufft,33554432,33554432,8,0.019214
cufft,67108864,67108864,8,0.032269
tcfft,67108864,67108864,8,0.040267
mpmxufft,67108864,67108864,8,0.042061
cufft,134217728,134217728,8,0.067464
tcfft,134217728,134217728,8,0.083864
mpmxufft,134217728,134217728,8,0.091951
