operation,fft_size,shape,batch_size,runtime
cufft,256,256,1048576,0.003187
tcfft,256,256,1048576,0.002534
mpmxufft,256,256,1048576,0.002253
cufft,512,512,1048576,0.006244
tcfft,512,512,1048576,0.005148
mpmxufft,512,512,1048576,0.003133
cufft,1024,1024,1048576,0.012426
tcfft,1024,1024,1048576,0.010206
mpmxufft,1024,1024,1048576,0.010499
cufft,131072,131072,2048,0.006381
tcfft,131072,131072,2048,0.006572
mpmxufft,131072,131072,2048,0.003876
cufft,262144,262144,2048,0.012445
tcfft,262144,262144,2048,0.014180
mpmxufft,262144,262144,2048,0.008242
cufft,524288,524288,2048,0.025192
tcfft,524288,524288,2048,0.028321
mpmxufft,524288,524288,2048,0.020652
cufft,16777216,16777216,8,0.004760
tcfft,16777216,16777216,8,0.005220
mpmxufft,16777216,16777216,8,0.003466
cufft,33554432,33554432,8,0.010681
tcfft,33554432,33554432,8,0.010590
mpmxufft,33554432,33554432,8,0.006287
cufft,67108864,67108864,8,0.021093
tcfft,67108864,67108864,8,0.021967
mpmxufft,67108864,67108864,8,0.012837
cufft,134217728,134217728,8,0.042859
tcfft,134217728,134217728,8,0.046663
mpmxufft,134217728,134217728,8,0.026664
