ref,query,dim,k,problem size,simt time(ms),tc time(ms),speedup
32,16,2,16,16384,0.30042,0.30347,0.9899495831548424
32,16,4,16,32768,0.30066,0.30282,0.9928670497325144
32,16,8,16,65536,0.30912,0.31139,0.992710106297569
32,16,16,16,131072,0.30202,0.30519,0.9896130279498018
32,16,32,16,262144,0.89979,0.30857,2.9159996111093105
32,16,64,16,524288,0.30892,0.31505,0.9805427709887319
32,16,128,16,1048576,0.89247,0.31806,2.805980003772873
32,16,256,16,2097152,0.32764,0.32952,0.9942947317310027
32,16,512,16,4194304,0.3449,0.35679,0.9666750749740743
32,16,1024,16,8388608,0.38993,0.39395,0.9897956593476329
32,16,2048,16,16777216,0.53007,1.11137,0.4769518702142401
64,16,2,16,32768,0.89651,0.31496,2.8464249428498856
64,16,4,16,65536,0.31622,0.31996,0.9883110388798599
64,16,8,16,131072,0.32112,0.32049,1.0019657399606852
64,16,16,16,262144,0.31779,0.32042,0.9917920229698521
64,16,32,16,524288,0.32387,0.32725,0.9896715049656226
64,16,64,16,1048576,0.32757,0.32867,0.9966531779596555
64,16,128,16,2097152,0.33254,0.33475,0.9933980582524272
64,16,256,16,4194304,0.34468,0.35344,0.9752150294250792
64,16,512,16,8388608,0.37336,0.89262,0.4182742936523941
64,16,1024,16,16777216,0.92791,0.41838,2.217864142645442
64,16,2048,16,33554432,0.57208,1.13094,0.5058446955629831
64,32,2,16,65536,0.91517,0.84751,1.0798338662670648
64,32,4,16,131072,0.85883,0.32301,2.6588340918237825
64,32,8,16,262144,0.32556,0.32902,0.9894839219500335
64,32,16,16,524288,0.32527,0.33064,0.9837587708686185
64,32,32,16,1048576,0.32689,0.33068,0.9885387685980406
64,32,64,16,2097152,0.33353,0.33649,0.9912033047044488
64,32,128,16,4194304,0.33359,0.34369,0.9706130524600658
64,32,256,16,8388608,0.35397,0.88446,0.4002102978088325
64,32,512,16,16777216,0.92701,0.38199,2.426791277258567
64,32,1024,16,33554432,0.41742,0.42955,0.971761145384705
64,32,2048,16,67108864,1.12024,0.6001,1.8667555407432095
128,16,2,16,65536,0.38606,0.38804,0.9948974332543037
128,16,4,16,131072,0.38615,0.3889,0.9929287734636153
128,16,8,16,262144,0.39045,0.9412,0.4148427539311517
128,16,16,16,524288,0.39013,0.39269,0.9934808627670682
128,16,32,16,1048576,0.39037,0.99443,0.3925565399273956
128,16,64,16,2097152,1.00654,0.39458,2.5509148968523494
