ref,query,dim,k,problem size,t1,t2,speedup
2048,2048,512,16,34359738368,10.972999999999999,10.84795,1.0115275236334973
2048,4096,512,16,68719476736,11.8686,11.784600000000001,1.007127946642228
2048,8192,512,16,137438953472,36.018100000000004,36.28365,0.9926812765529378
2048,16384,512,16,274877906944,66.91685,44.4924,1.5040063021999261
2048,32768,512,16,549755813888,91.01740000000001,73.91640000000001,1.2313559643056209
4096,2048,512,16,68719476736,37.056200000000004,13.22295,1.019972165
4096,4096,512,16,137438953472,38.0139,37.15405,1.0231428336883865
4096,8192,512,16,274877906944,64.6207,62.265299999999996,1.0378284534082387
4096,16384,512,16,549755813888,77.04275,72.94495,1.0561766098955445
4096,32768,512,16,1099511627776,141.99099999999999,136.5015,1.0402156752856195
8192,2048,512,16,137438953472,71.34505,68.5946,1.0400971796613727
8192,4096,512,16,274877906944,69.43469999999999,67.73315,1.0251213770509713
8192,8192,512,16,549755813888,90.58035000000001,85.77445,1.0560295052897455
8192,16384,512,16,1099511627776,141.5695,136.1985,1.0394350892263866
8192,32768,512,16,2199023255552,241.2265,205.457,1.1740972563602117
16384,2048,512,16,274877906944,102.34049999999999,77.96170000000001,1.3127022627777483
16384,4096,512,16,549755813888,112.26849999999999,106.29849999999999,1.0561625987196432
16384,8192,512,16,1099511627776,171.2055,139.55349999999999,1.2268090732228143
16384,16384,512,16,2199023255552,197.1565,137.1815,1.4371945196691973
16384,32768,512,16,4398046511104,394.665,308.59799999999996,1.2788968172185176
32768,2048,512,16,549755813888,167.0085,151.73149999999998,1.1006844326985499
32768,4096,512,16,1099511627776,212.475,192.5275,1.1036085753983196
32768,8192,512,16,2199023255552,279.59349999999995,245.506,1.1388458937867096
32768,16384,512,16,4398046511104,404.57550000000003,347.8315,1.1631364611888229
32768,32768,512,16,8796093022208,533.8064999999999,455.026,1.1731340626689462
65536,2048,512,16,1099511627776,277.7875,265.5575,1.0460540560895475
65536,4096,512,16,2199023255552,351.3365,313.61,1.1202975032683906
65536,8192,512,16,4398046511104,476.87,403.3225,1.1823540714936558
65536,16384,512,16,8796093022208,571.355,527.3985,1.0833458949921169
65536,32768,512,16,17592186044416,713.1475,652.735,1.0925528736776793
2048,2048,1024,16,68719476736,21.70025,21.3648,1.0157010596869618
2048,4096,1024,16,137438953472,36.18470000000001,34.23845,1.0568439868043094
2048,8192,1024,16,274877906944,66.9288,52.857150000000004,1.2662203694296796
2048,16384,1024,16,549755813888,73.2074,70.59065,1.0370693569190823
2048,32768,1024,16,1099511627776,138.041,133.3435,1.0352285638220085
4096,2048,1024,16,137438953472,19.098300000000002,17.900350000000003,1.06692327245
4096,4096,1024,16,274877906944,67.57509999999999,64.2256,1.0521521013427666
4096,8192,1024,16,549755813888,86.2541,69.46545,1.2416834555883536
4096,16384,1024,16,1099511627776,131.002,88.98169999999999,1.4722353023149706
4096,32768,1024,16,2199023255552,209.387,166.5815,1.2569643087617772
8192,2048,1024,16,274877906944,82.54275,70.68885,1.1676912271171478
8192,4096,1024,16,549755813888,75.531,74.309,1.0164448451735322
8192,8192,1024,16,1099511627776,124.9565,105.3005,1.1866657803144336
8192,16384,1024,16,2199023255552,199.4415,143.5025,1.3898120241807634
8192,32768,1024,16,4398046511104,295.933,220.3715,1.3428823600147932
16384,2048,1024,16,549755813888,120.1475,103.458,1.1613166695663941
16384,4096,1024,16,1099511627776,151.792,123.14850000000001,1.2325931700345516
16384,8192,1024,16,2199023255552,207.82049999999998,170.53250000000003,1.2186562678668287
16384,16384,1024,16,4398046511104,291.47,207.4735,1.4048541138988837
16384,32768,1024,16,8796093022208,486.853,389.831,1.248882207931129
32768,2048,1024,16,1099511627776,200.36450000000002,177.803,1.1268904349195459
32768,4096,1024,16,2199023255552,251.152,212.1115,1.184056498586828
32768,8192,1024,16,4398046511104,335.4145,280.704,1.1949045970132237
32768,16384,1024,16,8796093022208,481.7285,394.9235,1.2198020629311752
32768,32768,1024,16,17592186044416,607.846,567.139,1.0717760549001214
65536,2048,1024,16,2199023255552,330.808,307.07950000000005,1.0772715208927979
65536,4096,1024,16,4398046511104,420.32399999999996,383.348,1.096455439965775
65536,8192,1024,16,8796093022208,536.0875,476.619,1.1247715680658974
65536,16384,1024,16,17592186044416,630.981,585.74,1.0772373407996723
65536,32768,1024,16,35184372088832,799.86,698.071,1.1458146807416438
2048,2048,2048,16,137438953472,38.004450000000006,34.8848,1.0894272003852683
2048,4096,2048,16,274877906944,64.30114999999999,63.840050000000005,1.0072227387039951
2048,8192,2048,16,549755813888,81.78745,66.32145,1.233197555240424
2048,16384,2048,16,1099511627776,128.74599999999998,110.78999999999999,1.1620723892048017
2048,32768,2048,16,2199023255552,177.106,165.75650000000002,1.0684709196924402
