op,ref,query,dim,k,time(ms)
simt,4096,512,4096,64,110.515
simt,8192,1024,4096,64,186.382
simt,16384,2048,4096,64,376.642
simt,32768,4096,4096,64,521.287
simt,65536,8192,4096,64,830.897
simt,131072,16384,4096,64,2172.54
tc,4096,512,4096,64,499.432
4096,512,4096,64,104.727
tc,8192,1024,4096,64,459.774
8192,1024,4096,64,182.537
tc,16384,2048,4096,64,674.23
16384,2048,4096,64,331.278
tc,32768,4096,4096,64,799.732
32768,4096,4096,64,443.478
tc,65536,8192,4096,64,1104.01
65536,8192,4096,64,816.674
tc,131072,16384,4096,64,1870.74
131072,16384,4096,64,1501.31
