ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
318,3,Kernel,void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x5_nt_align1>(T1::Params),[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"   32,    2,    1","  128,    1,    1","10,619",19.74,8.38,8.00,94
100,2,_add_bias_,"nebula::_add_bias_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB," 3456,    1,    1","  512,    1,    1","15,524",25.73,49.26,32.28,16
199,2,_add_bias_,"nebula::_add_bias_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB," 3456,    1,    1","  512,    1,    1","15,514",26.11,49.29,32.63,16
297,2,_add_bias_,"nebula::_add_bias_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB," 2304,    1,    1","  512,    1,    1","11,548",19.97,44.42,29.47,16
302,3,_add_bias_,"nebula::_add_bias_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"   80,    1,    1","  512,    1,    1","4,172",8.06,4.69,3.29,16
307,3,_add_bias_,"nebula::_add_bias_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"   80,    1,    1","  512,    1,    1","4,293",8.26,4.56,3.39,16
312,3,_add_bias_,"nebula::_add_bias_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"    7,    1,    1","  512,    1,    1","3,888",7.33,0.41,0.85,16
317,3,_add_delta_,"nebula::_add_delta_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"    7,    1,    1","  512,    1,    1","3,889",7.97,0.41,0.76,16
322,3,_add_delta_,"nebula::_add_delta_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"   80,    1,    1","  512,    1,    1","4,097",8.10,4.78,2.37,16
328,3,_add_delta_,"nebula::_add_delta_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"   80,    1,    1","  512,    1,    1","4,150",8.26,4.72,2.20,16
333,2,_add_delta_,"nebula::_add_delta_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB," 2304,    1,    1","  512,    1,    1","33,310",44.70,15.40,6.03,16
463,2,_add_delta_,"nebula::_add_delta_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB," 3456,    1,    1","  512,    1,    1","35,132",49.86,21.77,8.50,16
594,2,_add_delta_,"nebula::_add_delta_(float *, float *, unsigned int, unsigned int, unsigned int)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB," 3456,    1,    1","  512,    1,    1","61,256",91.33,12.48,4.88,16
331,2,_backward_maxpool_,"nebula::_backward_maxpool_(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *, float *, unsigned int *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB," 2304,    1,    1","  512,    1,    1","11,845",20.26,44.06,28.27,27
592,2,_backward_maxpool_,"nebula::_backward_maxpool_(unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *, float *, unsigned int *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB," 3456,    1,    1","  512,    1,    1","15,601",26.18,49.86,32.63,27
304,3,_dropout_,"nebula::_dropout_(float *, unsigned int, float *, float, float)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"   80,    1,    1","  512,    1,    1","4,352",8.93,1.84,4.60,16
309,3,_dropout_,"nebula::_dropout_(float *, unsigned int, float *, float, float)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"   80,    1,    1","  512,    1,    1","4,398",8.61,1.82,4.90,16
320,3,_dropout_,"nebula::_dropout_(float *, unsigned int, float *, float, float)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"   80,    1,    1","  512,    1,    1","4,385",8.61,1.83,4.88,16
326,3,_dropout_,"nebula::_dropout_(float *, unsigned int, float *, float, float)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"   80,    1,    1","  512,    1,    1","4,437",8.83,1.80,4.68,16
337,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,519",17.22,13.65,10.54,32
341,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,397",17.18,13.83,10.73,32
345,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,479",17.41,13.70,10.48,32
349,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,625",17.09,13.50,10.47,32
353,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,462",17.50,13.73,10.53,32
357,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,420",17.34,13.79,10.86,32
361,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,385",17.09,13.84,10.63,32
365,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,495",17.12,13.68,10.55,32
369,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,429",17.12,13.78,10.74,32
373,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,588",17.18,13.55,10.37,32
377,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,508",17.15,13.67,10.52,32
381,3,_fold_,"nebula::_fold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763872] alexnet_small,NVIDIA A100-SXM4-40GB,"  108,    1,    1","  512,    1,    1","9,471",16.99,13.72,10.61,32
