model,operation,Non-gemm,Forward Pass,Backward Pass
VGG,"VGG
baseline",24.556519999999967,15.791119999999998,26.406600000000008
VGG,"VGG
MP",24.556519999999967,1.5122150179688136,26.406600000000008
VGG,"VGG
M$^3$XU",24.556519999999967,1.5122150179688136,7.2410505388198985
,,0.0,0.0,0.0
ResNet,"ResNet
baseline",26.325519999999948,12.90762,25.16711999999999
ResNet,"ResNet
MP",26.325519999999948,1.2360805826461083,25.16711999999999
ResNet,"ResNet
M$^3$XU",26.325519999999948,1.2360805826461083,6.901168186610356
,,0.0,0.0,0.0
AlexNet,"AlexNet
baseline",3.6591799999999997,4.281599999999998,6.899520000000002
AlexNet,"AlexNet
MP",3.6591799999999997,0.41002157041015913,6.899520000000002
AlexNet,"AlexNet
M$^3$XU",3.6591799999999997,0.41002157041015913,1.8919426587897998
