ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[762749] resnet_small,NVIDIA A100-SXM4-40GB,"    9,    1,    1","  512,    1,    1","13,199",22.34,2.15,4.54,31
1,3,ampere_sgemm_64x32_sliced1x4_nn,ampere_sgemm_64x32_sliced1x4_nn,[762749] resnet_small,NVIDIA A100-SXM4-40GB,"   24,    3,    1","  256,    1,    1","15,581",27.14,23.22,21.14,82
2,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[762749] resnet_small,NVIDIA A100-SXM4-40GB,"    9,    1,    1","  512,    1,    1","13,370",22.72,2.12,4.49,31
3,3,ampere_sgemm_64x32_sliced1x4_nn,ampere_sgemm_64x32_sliced1x4_nn,[762749] resnet_small,NVIDIA A100-SXM4-40GB,"   24,    3,    1","  256,    1,    1","15,503",26.69,23.33,21.24,82
4,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[762749] resnet_small,NVIDIA A100-SXM4-40GB,"    9,    1,    1","  512,    1,    1","13,537",22.66,2.09,4.41,31
5,3,ampere_sgemm_64x32_sliced1x4_nn,ampere_sgemm_64x32_sliced1x4_nn,[762749] resnet_small,NVIDIA A100-SXM4-40GB,"   24,    3,    1","  256,    1,    1","15,562",27.04,23.24,21.16,82
6,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[762749] resnet_small,NVIDIA A100-SXM4-40GB,"    9,    1,    1","  512,    1,    1","13,723",22.85,2.07,4.39,31
7,3,ampere_sgemm_64x32_sliced1x4_nn,ampere_sgemm_64x32_sliced1x4_nn,[762749] resnet_small,NVIDIA A100-SXM4-40GB,"   24,    3,    1","  256,    1,    1","15,433",27.58,23.44,21.34,82
8,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[762749] resnet_small,NVIDIA A100-SXM4-40GB,"    9,    1,    1","  512,    1,    1","13,509",22.78,2.10,4.42,31
9,3,ampere_sgemm_64x32_sliced1x4_nn,ampere_sgemm_64x32_sliced1x4_nn,[762749] resnet_small,NVIDIA A100-SXM4-40GB,"   24,    3,    1","  256,    1,    1","15,522",26.30,23.30,21.22,82
