ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,3,generate_seed_pseudo,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   64,    1,    1","   64,    1,    1","259,139",405.38,4.63,4.78,32
1,3,gen_sequenced,"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   64,    1,    1","   64,    1,    1","4,259",8,0.91,4.87,32
2,3,generate_seed_pseudo,"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   64,    1,    1","   64,    1,    1","259,468",405.02,4.62,4.77,32
3,3,gen_sequenced,"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   64,    1,    1","   64,    1,    1","4,260",8.32,0.91,4.88,32
4,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,531",11.71,5.16,5.63,31
5,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,906",24.51,23.22,23.85,57
6,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,206",11.36,5.44,5.90,31
7,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,861",23.94,23.30,23.92,57
8,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,318",11.46,5.33,5.82,31
9,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,967",24.29,23.13,23.73,57
10,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,230",11.39,5.41,5.89,31
11,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,877",23.78,23.27,23.87,57
12,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,565",11.65,5.14,5.58,31
13,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,896",23.84,23.24,23.84,57
14,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,226",11.33,5.41,5.89,31
15,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,920",24.80,23.20,23.80,57
16,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,332",11.36,5.32,5.85,31
17,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","14,108",24.03,22.89,23.48,57
18,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,254",11.36,5.39,5.88,31
19,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","14,018",24.64,23.04,23.64,57
20,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,576",11.94,5.12,5.60,31
21,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,929",24.29,23.19,23.77,57
22,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,185",11.33,5.45,5.93,31
23,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,911",23.90,23.21,23.83,57
24,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,296",11.81,5.35,5.86,31
25,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,928",24.03,23.19,23.79,57
26,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,158",11.20,5.48,5.93,31
27,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,861",23.78,23.31,23.91,57
28,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,512",11.68,5.18,5.67,31
29,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","14,020",24.42,23.03,23.65,57
30,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,143",11.39,5.49,5.97,31
31,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","14,080",24.22,22.95,23.55,57
32,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,418",11.49,5.25,5.72,31
33,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,969",24.10,23.13,23.74,57
34,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,161",11.30,5.47,5.99,31
35,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,917",24.48,23.20,23.79,57
36,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,493",11.78,5.19,5.64,31
37,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,984",24.06,23.10,23.69,57
38,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,244",11.33,5.40,5.86,31
39,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,970",23.90,23.12,23.73,57
40,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,497",11.49,5.19,5.69,31
41,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,821",24.48,23.37,23.98,57
42,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,187",11.26,5.45,5.91,31
43,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,925",24.70,23.19,23.80,57
44,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,451",11.81,5.23,5.69,31
45,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,946",23.90,23.16,23.76,57
46,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,189",11.26,5.45,5.96,31
47,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,929",24.77,23.18,23.77,57
48,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,327",11.36,5.33,5.83,31
49,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,842",24.35,23.33,23.96,57
50,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,140",11.36,5.49,6.00,31
51,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,959",24,23.13,23.74,57
52,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,462",11.74,5.21,5.71,31
53,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,873",23.87,23.28,23.88,57
54,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,138",11.36,5.49,5.99,31
55,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,968",24.16,23.12,23.75,57
56,3,_unfold_,"nebula::_unfold_(unsigned int, float *, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, float *)",[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   36,    1,    1","  512,    1,    1","6,515",11.84,5.17,5.63,31
57,3,ampere_sgemm_128x32_nn,ampere_sgemm_128x32_nn,[763711] vgg_small,NVIDIA A100-SXM4-40GB,"   48,    3,    1","  256,    1,    1","13,773",23.87,23.45,24.07,57
